id,NOMBRE,SEXO,FECHA_NAC,deceso,observaciones,nro_chip,socio,enable,clienteId,colorId,razaId,especieId
155,POINTER,HEMBRA,2009-05-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,193,1,132,1
156,VIOLETA     (DE TRINIDAD),HEMBRA,2006-10-04T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,194,30,341,1
157,HALL,MACHO,2002-01-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,195,1,202,1
158,LUNA,HEMBRA,2001-01-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,104,1,79,1
159,LAND,MACHO,2006-09-20T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,4,7,338,1
160,MAGIE,HEMBRA,2008-11-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,104,1,79,1
161,PINDO,HEMBRA,2004-07-25T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,4,18,338,1
162,COCKI,INDEFINIDO,2009-04-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,107,1,500,6
163,KALU,HEMBRA,2004-07-25T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,4,1,338,1
164,SASHA,HEMBRA,2006-06-26T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,108,1,333,1
165,ARON,MACHO,2005-06-15T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,4,1,273,1
166,SACH,MACHO,2007-12-30T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,127,18,241,1
167,PACO,MACHO,2001-01-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,109,1,347,1
168,CANELA,HEMBRA,2000-04-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,109,2,326,1
169,BILU,MACHO,2001-01-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,109,1,370,1
170,LUA,HEMBRA,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,109,1,326,1
171,ALFONSA,HEMBRA,2007-09-20T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,109,1,326,1
172,LEKA,HEMBRA CASTRADA,2002-01-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,130,10,328,1
173,INDRA,HEMBRA,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,132,1,163,1
174,GINA,HEMBRA CASTRADA,2004-09-23T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,132,1,163,1
175,SUMO,MACHO,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,131,3,371,1
176,LADY ANITA,HEMBRA,2005-06-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,133,1,500,1
177,CHASCONA,HEMBRA,2010-09-19T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,134,4,120,2
178,ATHO,MACHO,1998-03-24T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,135,23,246,1
179,ALIF,HEMBRA,2009-06-24T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,135,23,246,1
180,CHIQUITA,HEMBRA,2009-05-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,135,1,500,1
181,LUNA,HEMBRA,2007-01-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,137,34,374,1
182,HUMA,HEMBRA ENTERA,2008-05-25T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,138,1,197,1
183,NINETTE,HEMBRA,2006-05-06T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,139,1,334,1
184,ZOE,HEMBRA,2007-06-23T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,141,1,79,1
185,GATI,MACHO,2005-06-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,142,3,344,2
186,CLARITA,HEMBRA,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,143,23,374,1
187,CIMARRON,MACHO,1997-01-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,144,16,338,1
188,NANO,MACHO,2004-01-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,145,18,326,1
