MascotaId,MascotaNombre,MascotaSexo,MascotaNacimiento,MascotaDeceso,MascotaObservaciones,MascotaSocio,MascotaClienteId,MascotaColorId,MascotaRazaId,MascotaEspecieId
9367,WENDY,femenino,2023-04-30,1000-01-01,sin observaciones,false,8132,24,1,1
9368,TINKY,femenino,2021-03-01,1000-01-01,sin observaciones,false,4390,8,146,1
9369,ASIA,femenino,2023-04-01,1000-01-01,sin observaciones,false,8133,24,4,2
9370,VENUS,femenino,2023-03-03,1000-01-01,sin observaciones,false,503,1,109,1
9371,PELUSA,femenino,2011-07-01,1000-01-01,sin observaciones,false,8134,1,1,1
9372,MAILO,masculino,2022-07-01,1000-01-01,sin observaciones,false,4678,34,2,2
9373,IRATI,femenino,2017-04-01,1000-01-01,sin observaciones,false,3243,1,118,1
9374,MAYA,femenino,2023-06-01,1000-01-01,sin observaciones,false,1602,28,1,1
9375,MORENA,femenino,2022-07-03,1000-01-01,sin observaciones,false,8135,24,2,2
9376,CAPITAN,masculino,2022-05-03,1000-01-01,sin observaciones,false,7277,9,27,1
9377,MIMI,femenino,2012-07-03,1000-01-01,sin observaciones,false,8136,22,2,2
9378,TITO,masculino,2021-10-15,1000-01-01,sin observaciones,false,8137,15,2,2
9379,MINI ME,femenino,2005-07-04,2023-07-04,sin observaciones,false,8138,2,1,1
9380,BOBY,masculino,2020-07-04,1000-01-01,sin observaciones,false,7603,22,7,1
9381,CHUCHO,masculino,2017-07-04,1000-01-01,sin observaciones,false,8139,9,43,1
9382,RUBY,femenino,2020-07-04,1000-01-01,sin observaciones,false,1099,14,1,1
9383,ROMA,femenino,2022-03-04,1000-01-01,sin observaciones,false,8140,1,109,1
9385,CLIFORD,masculino,2022-11-05,1000-01-01,sin observaciones,false,6206,7,38,1
9386,TINI,femenino,2023-05-17,1000-01-01,sin observaciones,false,8142,9,122,1
9387,DINO,masculino,2023-05-10,1000-01-01,sin observaciones,false,6861,4,116,1
9388,CARLITOS,masculino,1000-01-01,1000-01-01,sin observaciones,false,3102,3,2,2
9389,COSMO,masculino,2023-05-10,1000-01-01,sin observaciones,false,6861,6,116,1
9390,XIANLI,femenino,2010-07-05,1000-01-01,sin observaciones,false,4338,47,35,1
9391,DOKY,masculino,2016-07-05,1000-01-01,sin observaciones,false,6096,8,16,1
9392,CELESTE,femenino,2010-06-05,1000-01-01,sin observaciones,false,8143,8,16,1
9393,PAZ,femenino,2022-11-05,1000-01-01,sin observaciones,false,6643,15,2,2
9394,PELUZITA,femenino,2022-04-18,1000-01-01,sin observaciones,false,4448,3,16,1
9395,MOQUITO,masculino,2019-07-06,1000-01-01,sin observaciones,false,7121,15,2,2
9396,BELLA,femenino,2011-07-06,1000-01-01,sin observaciones,false,6352,15,2,2
9397,LUNA,femenino,2015-07-06,1000-01-01,sin observaciones,false,8011,3,1,1
9398,DULCE,femenino,2023-01-06,1000-01-01,sin observaciones,false,8144,47,2,2
9399,SIMON,masculino,2016-02-14,1000-01-01,sin observaciones,false,3445,3,30,1
9400,DRAKE,masculino,2009-10-05,1000-01-01,sin observaciones,false,7490,9,43,1
9401,TITI,femenino,2021-07-06,1000-01-01,sin observaciones,false,6582,22,2,2
