id,NOMBRE,SEXO,FECHA_NAC,deceso,observaciones,nro_chip,socio,enabled,clienteId,colorId,razaId,especieId
189,GALATEA,HEMBRA,2002-03-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,96,1,79,1
190,SINTRA,HEMBRA,2011-02-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,42,1,331,1
191,BILU,MACHO,2007-08-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,42,1,370,1
192,MESTIZA,HEMBRA,2010-06-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,96,30,326,1
193,BARZA,MACHO,2011-03-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,42,1,344,2
194,FREUD,MACHO,2005-11-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,96,6,79,1
195,LEKA,HEMBRA CASTRADA,2009-04-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,130,10,328,1
196,SOCRATES,MACHO,2010-03-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,328,1,324,1
197,INDRA,HEMBRA,2011-06-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,132,1,163,1
198,VALENTINA,HEMBRA,2008-05-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,96,46,326,1
199,PACO,MACHO,2009-09-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,329,1,197,1
200,GINA,HEMBRA CASTRADA,2004-11-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,132,1,163,1
