id,nombre,sexo,nacimiento,deceso,observaciones,nro_chip,socio,enabled,clienteId,colorId,razaId,especieId
216,Juan,Macho,2013-04-20,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,3016,1,31,1
217,CORA,Hembra,2016-08-03,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,3018,1,39,1
218,BACCO,Macho,2016-12-02,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1713,3,20,1
219,negra,Hembra,2018-12-20,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,3018,3,39,1
220,FALCO,Macho,2017-06-12,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1713,3,20,1
221,MINI,Hembra,2013-07-01,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,3020,9,28,1
222,LORENZO,Macho,2008-12-06,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1749,9,28,1
223,NESKA,Hembra,2014-04-05,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,3022,2,5,1
224,MILI,Hembra,2012-02-11,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1783,1,29,1
225,MAX,Macho,2017-09-06,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1783,1,41,1
226,PACO,Macho,2009-04-05,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,3024,2,31,1
227,AIXA,Hembra,2018-08-21,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1783,2,13,1
228,RAUL,Macho,2011-08-06,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,3024,9,28,1
229,LAILA,Hembra,2016-08-05,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,3026,3,44,1
230,Moro,Macho,2014-04-29,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1783,1,29,1
231,PANCHO,Macho,2008-02-01,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1785,1,34,1
